nm_id,category_id,n_reviews,detection_precision,detection_recall,sentiment_mae_review,sentiment_mae_review_round,product_mae_n3,n_aspects_matched
9675256,physical_goods,200,0.5191666666666667,0.4238333333333333,0.6796723684210525,0.618421052631579,0.3875,6
15430704,consumables,100,0.4633333333333332,0.345,0.5964481481481483,0.5370370370370371,0.76368,5
54581151,physical_goods,100,0.6459999999999999,0.4181666666666666,0.6358473684210526,0.6090225563909775,0.3253,6
117808756,physical_goods,89,0.5056179775280899,0.3913857677902621,0.498928125,0.4375,0.5879166666666666,6
165234215,physical_goods,200,0.365,0.3375,1.2760823529411764,1.2352941176470589,1.2088571428571429,9
209269133,physical_goods,120,0.6666666666666666,0.6597222222222222,1.1957666666666666,1.1111111111111112,1.270233333333333,8
254445126,physical_goods,100,0.3581666666666666,0.3158333333333333,0.92728,0.8666666666666667,0.434,4
311233470,physical_goods,100,0.3973333333333333,0.3193333333333333,0.8481263888888889,0.7916666666666666,0.6372749999999999,5
441378025,physical_goods,85,0.388235294117647,0.3635294117647059,1.2062555555555556,1.2222222222222223,1.280175,6
506358703,consumables,100,0.3541666666666666,0.2185,0.4719408163265307,0.3877551020408163,0.6830333333333334,7
619500952,physical_goods,100,0.6156666666666667,0.5833333333333333,0.6844750000000001,0.625,1.129425,5
1504973191,hospitality,58,0.4390736179529283,0.538752052545156,0.9377714285714284,0.9142857142857144,0.5685454545454545,14
1526918294,services,82,0.378281068524971,0.375,1.146402272727273,1.1136363636363635,1.072788888888889,11
1645864865,services,99,0.5552188552188552,0.5346801346801346,0.6941547945205478,0.6575342465753424,0.7175333333333334,15
1733494834,services,90,0.3557407407407407,0.2992592592592593,0.867576923076923,0.717948717948718,0.82195,10
1809358565,hospitality,139,0.5623501199040768,0.5796163069544364,1.13791875,1.1428571428571428,0.8254727272727272,15
