slice_type,slice_value,n_reviews,system_rows,gold_rows,tp,fp,fn,unclear,duplicate,out_of_scope,gold_unclear,manual_precision_strict,manual_precision_soft,manual_recall,manual_f1_strict,manual_f1_soft,notes,n_pairs,manual_sentiment_mae,manual_sentiment_mae_round,manual_accuracy_at_0_5,manual_accuracy_at_1_0,manual_accuracy_at_1_5,manual_direction_accuracy,manual_macro_direction_f1,manual_wrong_polarity_rate,manual_strong_wrong_polarity_rate,manual_mean_signed_error,manual_rmse,category_id
nm_id,9675256,148,459,278,203,145,75,37,74,0,0,0.5272727272727272,0.5833333333333334,0.7302158273381295,0.61236802413273,0.6485623003194888,,203,1.0339941483142878,1.019704433497537,0.35960591133004927,0.5467980295566502,0.6551724137931034,0.6403940886699507,0.46996797389570366,0.04926108374384237,0.024630541871921183,-0.03661647935033337,1.319852650087945,physical_goods
nm_id,15430704,97,313,168,139,118,29,7,49,0,0,0.5265151515151515,0.5408560311284046,0.8273809523809523,0.6435185185185184,0.6541176470588235,,139,0.8288686878301024,0.7913669064748201,0.5251798561151079,0.6690647482014388,0.7769784172661871,0.7913669064748201,0.6161915339997531,0.09352517985611511,0.07913669064748201,-0.5242897813262212,1.2507073869939929,consumables
nm_id,54581151,96,639,321,206,348,115,21,64,0,0,0.3582608695652174,0.37184115523465705,0.6417445482866043,0.4598214285714285,0.4708571428571428,,206,0.6949018115523959,0.6601941747572816,0.5485436893203883,0.7815533980582524,0.8592233009708737,0.8349514563106796,0.5537609329446064,0.07281553398058252,0.05825242718446602,-0.12280985427812252,1.0831885246036128,physical_goods
nm_id,117808756,70,207,131,109,53,22,22,23,0,0,0.592391304347826,0.6728395061728395,0.8320610687022901,0.692063492063492,0.7440273037542663,,109,0.6948515676969124,0.6513761467889908,0.48623853211009177,0.7706422018348624,0.8990825688073395,0.8348623853211009,0.503030303030303,0.06422018348623854,0.01834862385321101,-0.41952224751603856,0.9674323342316701,physical_goods
nm_id,165234215,162,351,346,225,71,121,28,27,0,0,0.6944444444444444,0.7601351351351351,0.6502890173410405,0.6716417910447762,0.7009345794392523,,225,1.228542916337772,1.2,0.36,0.5155555555555555,0.64,0.6711111111111111,0.5113208987674974,0.2,0.12444444444444444,-0.4146656360158037,1.6496139888510881,physical_goods
nm_id,209269133,87,161,207,107,34,100,15,5,0,0,0.6858974358974359,0.7588652482269503,0.5169082125603864,0.5895316804407714,0.6149425287356322,,107,0.8951514780785367,0.8691588785046729,0.411214953271028,0.6542056074766355,0.7757009345794392,0.7850467289719626,0.5553470919324578,0.09345794392523364,0.04672897196261682,0.2557770082469084,1.2284315910389336,physical_goods
nm_id,254445126,86,299,183,136,67,47,18,78,0,0,0.6153846153846154,0.6699507389162561,0.7431693989071039,0.6732673267326733,0.7046632124352331,,136,1.113026282853699,1.1102941176470589,0.3235294117647059,0.5661764705882353,0.6911764705882353,0.6691176470588235,0.4482036972445064,0.16176470588235295,0.09558823529411764,-0.5720688946470117,1.4534762883039511,physical_goods
nm_id,311233470,98,603,267,227,196,40,24,156,0,0,0.5078299776286354,0.5366430260047281,0.850187265917603,0.6358543417366946,0.6579710144927536,,227,0.8815454754822386,0.8237885462555066,0.4845814977973568,0.6696035242290749,0.7841409691629956,0.73568281938326,0.5391378152750859,0.14096916299559473,0.07048458149779736,-0.1429790911709096,1.2758449102551719,physical_goods
nm_id,441378025,56,94,90,67,12,22,8,7,0,0,0.7701149425287356,0.8481012658227848,0.7528089887640449,0.7613636363636362,0.7976190476190476,,67,0.8948706458366142,0.9253731343283582,0.3582089552238806,0.7761194029850746,0.835820895522388,0.746268656716418,0.5905748363375483,0.1044776119402985,0.07462686567164178,-0.2731491279720551,1.2340563772517543,physical_goods
nm_id,506358703,98,197,219,154,15,64,25,3,0,1,0.7938144329896907,0.9112426035502958,0.7064220183486238,0.7475728155339807,0.7958656330749354,,154,0.6663281535992456,0.5714285714285714,0.5584415584415584,0.7662337662337663,0.8961038961038961,0.8961038961038961,0.4813519813519813,0.03896103896103896,0.012987012987012988,-0.6476533954859902,0.9621743173620229,consumables
